file_la,file_ld,file_lt,file_age,file_ddev,file_nuc,own,minor,file_ndev,file_ncomm,file_adev,file_nadev,file_avg_nddev,file_avg_nadev,file_avg_ncomm,file_ns,file_exp,file_sexp,file_rexp,file_nd,file_sctr,Bugs,commit_hash,release
27.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,14.0,0.0,1.0,-0.0596017596599837,1,d02377b1b105608e5fd659c1a7c3ddced44e1400,3.0
19.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,15.0,0.0,1.0,-0.0450491531444007,1,d02377b1b105608e5fd659c1a7c3ddced44e1400,3.0
339.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,-0.3491602714682457,1,d02377b1b105608e5fd659c1a7c3ddced44e1400,3.0
306.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,-0.3297559307049994,1,d02377b1b105608e5fd659c1a7c3ddced44e1400,3.0
23.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,1.0,-0.0524881556498082,1,d02377b1b105608e5fd659c1a7c3ddced44e1400,3.0
130.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,0.0,1.0,-0.1918835513959061,1,d02377b1b105608e5fd659c1a7c3ddced44e1400,3.0
6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,16.0,0.0,1.0,-0.0174446903214976,1,d02377b1b105608e5fd659c1a7c3ddced44e1400,3.0
40.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0,17.0,0.0,1.0,-0.0809822503906353,1,d02377b1b105608e5fd659c1a7c3ddced44e1400,3.0
144.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,18.0,0.0,1.0,-0.2056936644566379,1,d02377b1b105608e5fd659c1a7c3ddced44e1400,3.0
41.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,19.0,19.0,0.0,1.0,-0.0825356517152529,1,d02377b1b105608e5fd659c1a7c3ddced44e1400,3.0
482.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,0.0,1.0,-0.4174995629080805,1,d02377b1b105608e5fd659c1a7c3ddced44e1400,3.0
60.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,21.0,21.0,0.0,1.0,-0.1101515207332854,1,d02377b1b105608e5fd659c1a7c3ddced44e1400,3.0
72.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,22.0,0.0,1.0,-0.1260726386799318,1,d02377b1b105608e5fd659c1a7c3ddced44e1400,3.0
210.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,0.0,1.0,-0.2630966020400162,1,d02377b1b105608e5fd659c1a7c3ddced44e1400,3.0
139.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,0.0,1.0,-0.200837576907708,1,d02377b1b105608e5fd659c1a7c3ddced44e1400,3.0
45.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,23.0,0.0,1.0,-0.0886383784427215,1,d02377b1b105608e5fd659c1a7c3ddced44e1400,3.0
55.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,24.0,0.0,1.0,-0.1031993881500102,1,d02377b1b105608e5fd659c1a7c3ddced44e1400,3.0
44.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,25.0,25.0,0.0,1.0,-0.0871288125119578,1,d02377b1b105608e5fd659c1a7c3ddced44e1400,3.0
65.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,26.0,26.0,0.0,1.0,-0.1169095176334369,1,d02377b1b105608e5fd659c1a7c3ddced44e1400,3.0
460.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,0.0,1.0,-0.4084447505290075,1,d02377b1b105608e5fd659c1a7c3ddced44e1400,3.0
