file_la,file_ld,file_lt,file_age,file_ddev,file_nuc,own,minor,file_ndev,file_ncomm,file_adev,file_nadev,file_avg_nddev,file_avg_nadev,file_avg_ncomm,file_ns,file_exp,file_sexp,file_rexp,file_nd,file_sctr,Bugs,commit_hash,release
18.0,3.0,22.0,5.429918501260743,11.0,6.0,0.9072154394155008,1.0,1136.0,430.0,6.0,429.0,16.029514727666562,10.114713407573436,10.112309413530689,1.0,470.0,144.95009261681534,17.105664049070292,1.0,-0.1961119846422581,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
119.0,13.0,253.0,22.60036711996742,12.0,6.0,0.8646866794167114,2.0,956.0,434.0,6.0,435.0,16.617460769153766,10.23426749456613,10.238086314593335,1.0,578.0,127.03823547171046,17.23920471951731,1.0,-0.2582902270684644,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
42.0,11.0,88.0,6.184774839319362,10.0,6.0,0.9166342573910404,1.0,1041.0,431.0,6.0,430.0,14.612205093214072,10.138459567089468,10.137461118560756,1.0,611.0,141.81198450640852,17.15729738702374,1.0,-0.2312683183465026,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
18.0,3.0,18.0,6.058468587446767,11.0,6.0,0.9026138903260076,1.0,1121.0,430.0,6.0,429.0,16.313923041026676,10.112089142855368,10.109542593443486,1.0,544.0,150.41779909894018,17.10383909302064,1.0,-0.1961331908057916,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
25.0,6.0,28.0,3.52357223119233,9.0,6.0,0.9155514937408472,1.0,1075.0,430.0,6.0,429.0,15.198003824662194,10.11920679148268,10.117042137230326,1.0,445.0,132.3294422419879,17.16229642829867,1.0,-0.20806741056189,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
18.0,3.0,30.0,5.248095809326501,10.0,6.0,0.9063885483383256,0.0,1134.0,430.0,6.0,429.0,15.74435792731514,10.118585495227402,10.116367439557402,1.0,534.0,148.80244350664276,17.094034407606518,1.0,-0.1991403452979366,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
21.0,3.0,20.0,6.558263263958248,11.0,6.0,0.8977764973428861,0.0,1125.0,430.0,6.0,429.0,16.784448061282824,10.11144485210434,10.108830596201908,1.0,535.0,149.53655806807075,17.101558311682762,1.0,-0.1960859554489817,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
32.0,6.0,55.0,7.095816473548428,11.0,6.0,0.8930181159966424,1.0,1056.0,430.0,6.0,430.0,14.445805674053402,10.129034470611488,10.12739140522942,1.0,520.0,140.22910203077552,17.166467943661416,1.0,-0.204528616660909,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
30.0,7.0,77.0,2.429537741137219,10.0,6.0,0.9242897926055046,0.0,1087.0,430.0,6.0,430.0,14.428658610961158,10.148038682331574,10.147403990251664,1.0,628.0,142.05795914811608,17.111244659652996,1.0,-0.227524246937918,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
38.0,6.0,44.0,6.280074632552864,10.0,6.0,0.9057752420286176,1.0,1050.0,430.0,6.0,430.0,15.827180558537908,10.129612817928727,10.1279568734358,1.0,498.0,133.44530768214258,17.172650835854903,1.0,-0.2119696186115245,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
137.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,72.0,2.0,0.0,1.0,-0.0863512428031681,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
51.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,80.0,10.0,0.0,1.0,-0.0395901559240184,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
34.0,6.0,45.0,4.633916980095497,11.0,6.0,0.9201442638187196,0.0,1125.0,430.0,6.0,430.0,17.150989061348945,10.122449605092532,10.120446098286497,1.0,532.0,145.05632864500924,17.099917621590784,1.0,-0.2091326985083142,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
39.0,9.0,201.0,13.210334371451836,12.0,6.0,0.8239979674748324,1.0,1056.0,433.0,6.0,434.0,14.74739067335279,10.213775578626828,10.216749593104124,1.0,720.0,140.78339159472665,17.119869228798223,1.0,-0.2285419523593542,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
27.0,7.0,133.0,5.608309638465351,11.0,6.0,0.9014686383392968,0.0,1079.0,432.0,6.0,432.0,13.736353903495136,10.182056298611483,10.18322332839298,1.0,810.0,152.41779509462975,17.08018022531856,1.0,-0.239285797901576,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
35.0,9.0,57.0,4.266777913052163,10.0,6.0,0.9078782777449488,0.0,1059.0,430.0,6.0,430.0,15.85295689131311,10.127713858174332,10.125995462009929,1.0,438.0,128.71132463757323,17.17678777149425,1.0,-0.2185040028985405,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
13.0,5.0,37.0,3.4017966142493448,11.0,6.0,0.912864775714467,1.0,1140.0,430.0,6.0,429.0,16.399190237093727,10.115517222711407,10.11314898561073,1.0,544.0,149.9252131061362,17.086994426094012,1.0,-0.2038499272757718,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
42.0,8.0,108.0,3.711174815641922,10.0,6.0,0.9031091199108516,0.0,1039.0,431.0,6.0,431.0,16.05836699220083,10.153758368819291,10.153243320161822,1.0,468.0,127.74090739134896,17.188870049535005,1.0,-0.2198619340976775,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
20.0,7.0,47.0,5.9242635602942375,12.0,6.0,0.8883902702749493,0.0,1126.0,430.0,6.0,430.0,17.915495639581245,10.119679944952258,10.117445191493877,1.0,577.0,151.4959749222669,17.092806432701643,1.0,-0.2088561660221098,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
12.0,4.0,49.0,9.23110252862951,11.0,6.0,0.8767460758504079,0.0,1135.0,430.0,6.0,430.0,16.457978531575517,10.127416728544697,10.125675446317944,1.0,602.0,153.59806048003867,17.07952598943829,1.0,-0.2027324403996241,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
9.0,3.0,86.0,7.644243229592221,12.0,6.0,0.9003299098742112,0.0,1193.0,431.0,6.0,431.0,18.59626641523689,10.143294076696154,10.142432444650124,1.0,625.0,156.74109473826206,17.022389852615238,1.0,-0.2056040769878393,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
25.0,10.0,159.0,5.287692839339388,14.0,7.0,0.8517936433396545,1.0,1297.0,431.0,6.0,431.0,14.966820734913108,10.172156009422933,10.173077064854972,1.0,205.0,130.56068150391843,17.02113514787385,1.0,-0.2317462433008791,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
28.0,12.0,147.0,4.909341586324296,11.0,6.0,0.8676281692451496,0.0,1081.0,432.0,6.0,432.0,14.98978462599246,10.166642911477322,10.167011827303153,1.0,417.0,127.93130096133471,17.165449772284216,1.0,-0.2308957991670621,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
19.0,3.0,21.0,7.498512230357094,11.0,6.0,0.8916366834984526,0.0,1104.0,430.0,6.0,429.0,16.075966921315533,10.111452886960532,10.108810020550136,1.0,572.0,151.524661243644,17.11335362698733,1.0,-0.1965775159961252,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
25.0,6.0,29.0,4.926652387314005,10.0,6.0,0.9082727039433656,0.0,1067.0,430.0,6.0,429.0,15.515169586448556,10.116440024190558,10.11409419156651,1.0,478.0,135.09455226240328,17.16231197902454,1.0,-0.2076605322700989,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
46.0,10.0,92.0,8.17022448174908,11.0,6.0,0.8747038958268035,0.0,1068.0,431.0,6.0,431.0,16.388837537156373,10.143289761243034,10.142316071544816,1.0,531.0,138.8745971725378,17.15175014981175,1.0,-0.2176021490020102,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
15.0,3.0,25.0,6.321434197508244,11.0,6.0,0.8953972118061105,0.0,1119.0,430.0,6.0,429.0,16.358444521223944,10.1131062698335,10.1105854620605,1.0,534.0,149.413204516649,17.107996239978075,1.0,-0.197815321998215,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
15.0,7.0,88.0,8.665607562834623,12.0,6.0,0.8616441820176041,0.0,1120.0,431.0,6.0,431.0,16.409474075402937,10.140907636975406,10.139855286793512,1.0,607.0,151.89057334065825,17.092669349053065,1.0,-0.2127581658246479,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
17.0,4.0,35.0,9.196175954078836,11.0,6.0,0.8794729170478646,0.0,1106.0,430.0,6.0,430.0,16.11467514245678,10.117360659192473,10.115030555233703,1.0,649.0,156.3617301749963,17.095683204126836,1.0,-0.2028803096633183,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
46.0,8.0,94.0,5.3040514598690605,10.0,6.0,0.9058555946567014,1.0,1035.0,431.0,6.0,431.0,14.802118813254816,10.150369638670442,10.149791196032348,1.0,531.0,133.0006027558705,17.179336574861416,1.0,-0.2257426490412089,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
22.0,4.0,43.0,5.652116185223571,11.0,6.0,0.9061554414062184,0.0,1139.0,430.0,6.0,430.0,16.650671212417613,10.121545074120244,10.119468617595178,1.0,643.0,158.3192812276451,17.066774709295967,1.0,-0.2003973014694595,0,3146479b6b9305e3ba8b48d32550664f45c4483b,44.0
