file_la,file_ld,file_lt,file_age,file_ddev,file_nuc,own,minor,file_ndev,file_ncomm,file_adev,file_nadev,file_avg_nddev,file_avg_nadev,file_avg_ncomm,file_ns,file_exp,file_sexp,file_rexp,file_nd,file_sctr,Bugs,commit_hash,release
69.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,4.0,524.6363636363636,1.0,-0.2833010629302592,1,9460ceb05911c726da02e400d3e51ba22ef9f072,39.0
62.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,27.0,3.0,524.6363636363636,1.0,-0.2651448279045966,1,9460ceb05911c726da02e400d3e51ba22ef9f072,39.0
151.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,30.0,6.0,524.6363636363636,1.0,-0.4312476854940337,1,9460ceb05911c726da02e400d3e51ba22ef9f072,39.0
20.0,3.0,9.0,23.60109326173805,1.0,5.0,0.9674828595029222,0.0,5.0,118.0,5.0,118.0,0.7098858254270077,21.550968803960075,21.550965804051405,1.0,395.0,137.11865973910108,21.512384649431603,1.0,-0.2766309515377458,0,9460ceb05911c726da02e400d3e51ba22ef9f072,39.0
20.0,3.0,10.0,23.58406911742865,1.0,5.0,0.9675665677878064,0.0,5.0,118.0,5.0,118.0,0.7149962122113649,21.5509643559344,21.550960998436988,1.0,394.0,136.80411329992177,21.566355156876448,1.0,-0.276875004938069,0,9460ceb05911c726da02e400d3e51ba22ef9f072,39.0
22.0,2.0,16.0,24.236736277641484,1.0,5.0,0.9689892184810254,0.0,5.0,118.0,5.0,118.0,0.7026103668207739,21.55099427527397,21.5509911607402,1.0,399.0,138.81456426901684,20.987832857267627,1.0,-0.2795500912294967,0,9460ceb05911c726da02e400d3e51ba22ef9f072,39.0
22.0,0.0,25.0,24.979789856343693,1.0,5.0,0.9690305847624356,0.0,5.0,118.0,5.0,118.0,0.6882965617996168,21.55098636139889,21.550982998743844,1.0,396.0,137.84136838172512,20.93617535792905,1.0,-0.2825541253096495,0,9460ceb05911c726da02e400d3e51ba22ef9f072,39.0
20.0,3.0,11.0,23.724569955667672,1.0,5.0,0.9676019132844234,0.0,5.0,118.0,5.0,118.0,0.7169237587814945,21.550967014119543,21.55096401364055,1.0,396.0,137.38959297362723,21.426843776706196,1.0,-0.2767288291453681,0,9460ceb05911c726da02e400d3e51ba22ef9f072,39.0
20.0,3.0,11.0,23.707866610786937,1.0,5.0,0.9676948974095329,0.0,5.0,118.0,5.0,118.0,0.7180160294681792,21.55096696527242,21.55096396478324,1.0,395.0,137.242237023723,21.461663854344657,1.0,-0.2767772922736166,0,9460ceb05911c726da02e400d3e51ba22ef9f072,39.0
22.0,1.0,21.0,24.62008320081108,1.0,5.0,0.9685052449002888,0.0,5.0,118.0,5.0,118.0,0.6678218988543692,21.55099226851481,21.55098915111588,1.0,396.0,137.75948138181698,21.053009432684437,1.0,-0.2817278237022125,0,9460ceb05911c726da02e400d3e51ba22ef9f072,39.0
21.0,3.0,10.0,23.59034535680201,1.0,5.0,0.9673476818156316,0.0,5.0,118.0,5.0,118.0,0.7127401852000594,21.550970526358128,21.55096752585142,1.0,394.0,136.61285314421198,21.63123684159869,1.0,-0.2779459282008137,0,9460ceb05911c726da02e400d3e51ba22ef9f072,39.0
14.0,6.0,145.0,16.137858796296292,1.0,3.0,1.0,0.0,1.0,2.0,3.0,2.0,0.5,1.0,1.0,1.0,65.0,13.0,1.0217521563335532,1.0,-0.1250032034090318,1,a1e299c1568dcff94635e1c8cc886235cee10a4e,38.0
24.0,1.0,32.0,25.57114777068865,1.0,5.0,0.96982957464247,0.0,5.0,118.0,5.0,118.0,0.6696715628995352,21.55099639234174,21.550993027678288,1.0,396.0,138.45644657455802,20.674197796389883,1.0,-0.2860857478670106,0,a1e299c1568dcff94635e1c8cc886235cee10a4e,38.0
22.0,1.0,19.0,24.695322372827043,1.0,5.0,0.969842589179826,0.0,5.0,118.0,5.0,118.0,0.6914887865787389,21.55099265668012,21.550990256862047,1.0,402.0,140.79642312111463,20.513834895131247,1.0,-0.2790965932734491,0,a1e299c1568dcff94635e1c8cc886235cee10a4e,38.0
23.0,0.0,25.0,24.966927350516897,1.0,4.0,0.9692874423776128,0.0,5.0,118.0,5.0,118.0,0.6804342514634603,21.55098639547252,21.55098303169007,1.0,395.0,137.72443713791256,21.000127608626087,1.0,-0.2841895729414336,0,a1e299c1568dcff94635e1c8cc886235cee10a4e,38.0
21.0,3.0,11.0,23.711202561029864,1.0,4.0,0.9678542343901476,0.0,5.0,118.0,5.0,118.0,0.7090998010678818,21.550965999874443,21.55096299794917,1.0,395.0,137.269314264925,21.491650276546693,1.0,-0.2783662952523101,0,a1e299c1568dcff94635e1c8cc886235cee10a4e,38.0
23.0,2.0,17.0,24.331968235819133,1.0,5.0,0.9690185497390196,0.0,5.0,118.0,5.0,118.0,0.6892675851341692,21.5509675645822,21.550964201186726,1.0,398.0,138.6500624258853,21.040486432528112,1.0,-0.2807775068279233,0,a1e299c1568dcff94635e1c8cc886235cee10a4e,38.0
