file_la,file_ld,file_lt,file_age,file_ddev,file_nuc,own,minor,file_ndev,file_ncomm,file_adev,file_nadev,file_avg_nddev,file_avg_nadev,file_avg_ncomm,file_ns,file_exp,file_sexp,file_rexp,file_nd,file_sctr,Bugs,commit_hash,release
24.0,9.0,32.0,31.49496576246484,3.0,4.0,0.93930980961082,0.0,47.0,45.0,4.0,45.0,2.715423999207051,4.853334100206342,4.853320131231888,1.0,303.0,204.56947142505635,2.5265766266782808,1.0,-0.2389555074361393,0,ec70844d4f52f5a15d0f043bac9a8eea85504ad5,29.0
14.0,0.0,14.0,21.27504114619222,3.0,4.0,0.9502312793985692,0.0,24.0,45.0,5.0,45.0,1.819569101162656,4.853285397187827,4.853267195949581,1.0,293.0,195.5249260565072,2.54824536877661,1.0,-0.2204702300626182,0,ec70844d4f52f5a15d0f043bac9a8eea85504ad5,29.0
14.0,2.0,19.0,24.164469113806422,3.0,4.0,0.9472572566285768,0.0,29.0,45.0,5.0,45.0,2.0522446985177947,4.853289813126373,4.85327149295168,1.0,296.0,197.70228086082733,2.544668786370721,1.0,-0.2278095402179239,0,ec70844d4f52f5a15d0f043bac9a8eea85504ad5,29.0
19.0,8.0,28.0,27.811831865275117,3.0,4.0,0.9434429343712224,0.0,39.0,45.0,4.0,45.0,2.4499409226813773,4.853434169364287,4.853428365846273,1.0,303.0,202.62017592415225,2.5345381711249217,1.0,-0.2368976429419327,0,ec70844d4f52f5a15d0f043bac9a8eea85504ad5,29.0
18.0,6.0,31.0,23.77718431441054,3.0,4.0,0.9439520103492104,0.0,26.0,45.0,4.0,45.0,2.2577684642629388,4.853450029260404,4.853446967876534,1.0,290.0,194.4911274717528,2.5364677964485787,1.0,-0.2602090354193874,0,ec70844d4f52f5a15d0f043bac9a8eea85504ad5,29.0
21.0,10.0,30.0,23.315969235824653,3.0,4.0,0.9451375607500824,0.0,29.0,45.0,4.0,45.0,2.0336867103769416,4.8534683932443246,4.853466955829524,1.0,296.0,197.9295146055082,2.532088550426441,1.0,-0.2405184330534427,0,ec70844d4f52f5a15d0f043bac9a8eea85504ad5,29.0
14.0,36.0,82.0,44.22486111111111,1.0,2.0,1.0,0.0,4.0,10.0,2.0,10.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.0,22.0,3.0,1.0106367341089777,1.0,-0.4679146426995605,0,ec70844d4f52f5a15d0f043bac9a8eea85504ad5,29.0
69.0,8.0,91.0,24.574894619524184,3.0,4.0,0.9234909735999024,0.0,34.0,45.0,4.0,45.0,2.1458726029939084,4.853487862045279,4.853506306483217,1.0,272.0,191.9828377132136,2.433400047728981,1.0,-0.3211312826031468,0,ec70844d4f52f5a15d0f043bac9a8eea85504ad5,29.0
22.0,12.0,36.0,29.38653090204521,3.0,4.0,0.9447010949191168,0.0,42.0,45.0,4.0,45.0,2.370633396760756,4.853391143472179,4.85338259855312,1.0,306.0,204.84529548517892,2.5238226002401296,1.0,-0.2272383470832479,0,ec70844d4f52f5a15d0f043bac9a8eea85504ad5,29.0
71.0,20.0,13.0,10.807999006130665,3.0,4.0,0.9532035282125674,0.0,31.0,45.0,4.0,45.0,2.21276382630782,4.853328728057145,4.853317455138851,1.0,279.0,189.8873237616378,2.530647918806292,1.0,-0.3371631869687659,0,ec70844d4f52f5a15d0f043bac9a8eea85504ad5,29.0
29.0,8.0,110.0,56.08828604141678,4.0,5.0,0.9204671543068028,0.0,81.0,45.0,5.0,45.0,3.9582396344674136,4.853305847357846,4.85330126803278,1.0,312.0,217.61229718814036,2.4382300068649942,1.0,-0.2523723887370186,0,ec70844d4f52f5a15d0f043bac9a8eea85504ad5,29.0
12.0,3.0,23.0,25.902028163200967,3.0,4.0,0.9454031985893164,0.0,31.0,45.0,5.0,45.0,2.19394108434338,4.853334635869921,4.8533196535512095,1.0,297.0,198.4996746896909,2.54189100607139,1.0,-0.2293296305126015,0,ec70844d4f52f5a15d0f043bac9a8eea85504ad5,29.0
15.0,6.0,18.0,18.889821140130906,2.0,4.0,0.9521079560957116,0.0,21.0,45.0,4.0,45.0,1.651793493716338,4.853499970368412,4.853501319263453,1.0,298.0,196.9483465425999,2.544693411110199,1.0,-0.2300279326614007,0,ec70844d4f52f5a15d0f043bac9a8eea85504ad5,29.0
19.0,10.0,40.0,22.632563182461315,3.0,4.0,0.943672935875437,0.0,22.0,45.0,5.0,45.0,1.7686250687572318,4.853617529025033,4.853632900323395,1.0,294.0,195.77679265263396,2.522482972544023,1.0,-0.2354896881717957,0,ec70844d4f52f5a15d0f043bac9a8eea85504ad5,29.0
25.0,13.0,17.0,14.40109643070682,2.0,4.0,0.9583592081268324,0.0,16.0,45.0,4.0,45.0,1.3972527284597047,4.853475177662671,4.853474619382287,1.0,301.0,197.7324272357369,2.542160238752917,1.0,-0.24643830829036,0,ec70844d4f52f5a15d0f043bac9a8eea85504ad5,29.0
13.0,5.0,18.0,19.782135998433954,2.0,4.0,0.9521659256813322,0.0,20.0,45.0,4.0,45.0,1.561581942523753,4.853385947696167,4.8533773426136735,1.0,297.0,196.4440165230167,2.54473292565848,1.0,-0.2221603184899989,0,ec70844d4f52f5a15d0f043bac9a8eea85504ad5,29.0
15.0,5.0,12.0,16.85566614301533,2.0,4.0,0.9543309241895982,0.0,17.0,45.0,4.0,45.0,1.4506895571566651,4.853365980256663,4.853355646679836,1.0,297.0,196.29864184464012,2.54959957793276,1.0,-0.2275613055581043,0,ec70844d4f52f5a15d0f043bac9a8eea85504ad5,29.0
