file_la,file_ld,file_lt,file_age,file_ddev,file_nuc,own,minor,file_ndev,file_ncomm,file_adev,file_nadev,file_avg_nddev,file_avg_nadev,file_avg_ncomm,file_ns,file_exp,file_sexp,file_rexp,file_nd,file_sctr,Bugs,commit_hash,release
52.0,18.0,225.0,56.44216854738829,2.0,4.0,0.8361148665834633,0.0,13.0,28.0,4.0,28.0,1.2455772834362715,3.1816696198775283,3.181655688061729,1.0,94.0,84.43752067412218,62.9701834263765,1.0,-0.3088294473353438,0,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,7.0
14.0,6.0,40.0,98.96922380921868,2.0,3.0,0.990209251599162,0.0,12.0,28.0,4.0,28.0,0.8829959783760486,3.1817705469893007,3.1817911033376176,1.0,90.0,84.35804648358211,62.43024449087503,1.0,-0.2274979789830195,0,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,7.0
21.0,6.0,120.0,88.30925998496667,2.0,3.0,0.9920101486291244,0.0,12.0,28.0,3.0,28.0,1.1004343184620171,3.1816665107435536,3.181671557653137,1.0,91.0,84.13174730345163,62.62521664053311,1.0,-0.2389882946258272,0,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,7.0
16.0,6.0,47.0,96.22692121083615,2.0,3.0,0.9814437946682188,0.0,13.0,28.0,3.0,28.0,0.9079476291897004,3.1817641501979588,3.1817829073184654,1.0,91.0,84.11279699823592,62.45468741831373,1.0,-0.2325781836294029,0,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,7.0
15.0,5.0,50.0,95.81800494374932,2.0,3.0,0.9872896519458304,0.0,13.0,28.0,3.0,28.0,0.922968953765227,3.181766339849686,3.181785410733326,1.0,89.0,84.17432556000725,62.46070773510704,1.0,-0.2290424743873347,0,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,7.0
20.0,10.0,46.0,89.49424646761594,2.0,3.0,0.9948030180240648,0.0,11.0,28.0,3.0,28.0,0.8733859310351091,3.181758130145385,3.18177595185134,1.0,92.0,83.99622974749825,62.46901385213524,1.0,-0.2519544882795124,0,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,7.0
48.0,20.0,284.0,48.79317106688639,2.0,3.0,0.9133825300229376,0.0,10.0,28.0,4.0,28.0,1.496965994395234,3.1816345690094425,3.181618662302167,1.0,91.0,83.73649561411348,63.067921198404655,1.0,-0.3080822727818527,0,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,7.0
31.0,12.0,87.0,81.7022255724916,2.0,4.0,0.9248546809639616,0.0,8.0,28.0,4.0,28.0,0.9832229074662632,3.181727514160585,3.181736992791212,1.0,90.0,83.19682386691532,62.60891138377901,1.0,-0.2635002793447875,0,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,7.0
29.0,10.0,62.0,84.48754533529547,2.0,3.0,0.9315588409003004,0.0,8.0,28.0,3.0,28.0,0.901906859798586,3.1817531682485787,3.181766688281756,1.0,90.0,83.13059400775705,62.552237392125214,1.0,-0.2535761185571992,0,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,7.0
41.0,24.0,158.0,54.794547535132345,2.0,3.0,0.936779989391558,0.0,13.0,28.0,4.0,28.0,1.2116832449880492,3.1817197602453584,3.1817204085537547,1.0,93.0,82.86335302336381,62.78504972354803,1.0,-0.3163643425788209,0,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,7.0
17.0,6.0,45.0,93.9238449578352,2.0,3.0,0.983012274400348,0.0,14.0,28.0,4.0,28.0,0.9208874122442114,3.1817657692345667,3.1817849444645825,1.0,90.0,83.87981059559691,62.45549417194564,1.0,-0.2319944739420532,0,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,7.0
4.0,186.0,337.0,0.0986689814814814,1.0,3.0,1.0,0.0,5.0,5.0,3.0,5.0,0.625,0.625,0.625,1.0,51.0,40.0,11.134897360703812,1.0,-0.5292976709366713,0,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,7.0
15.0,5.0,41.0,97.55518505747204,2.0,3.0,0.986563323716068,0.0,13.0,28.0,3.0,28.0,0.8902234680022867,3.1817733968731243,3.181793908235805,1.0,90.0,84.128298865519,62.43771252227353,1.0,-0.229263246554867,0,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,7.0
18.0,3.0,87.0,92.48056482967768,2.0,3.0,0.9929232659279648,0.0,12.0,28.0,3.0,28.0,0.987217716446386,3.1816884174898874,3.1816992026010884,1.0,89.0,83.81992909869747,62.54863843326696,1.0,-0.2321370362982953,0,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,7.0
13.0,5.0,43.0,98.85498730881623,2.0,3.0,0.9908816335452818,0.0,12.0,28.0,4.0,28.0,0.888548712983559,3.1817661196513174,3.1817861560319383,1.0,89.0,84.26642669284325,62.43818169367429,1.0,-0.2271507684588368,0,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,7.0
30.0,9.0,19.0,88.56316343161572,2.0,3.0,0.9297652873065932,0.0,6.0,28.0,3.0,28.0,0.7795190245274111,3.181768790402893,3.181788766832128,1.0,89.0,83.21651096026584,62.46569884608565,1.0,-0.2503836538709004,0,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,7.0
16.0,5.0,44.0,95.8655184057214,2.0,3.0,0.9867207445757205,0.0,13.0,28.0,3.0,28.0,0.900741937985978,3.181773242829244,3.1817935730427,1.0,89.0,84.04199701597513,62.44787973934979,1.0,-0.2304546141069566,0,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,7.0
104.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,53.0,42.0,1.3043936260538396,1.0,-0.4520534203172167,0,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,7.0
29.0,16.0,81.0,77.1272387344157,2.0,4.0,0.9720327250494196,0.0,11.0,28.0,4.0,28.0,0.964616963902035,3.1817458330411665,3.181759111493639,1.0,93.0,83.84875720060631,62.57256815284098,1.0,-0.2789582855972707,0,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,7.0
